,Year,Month,Day,startdate,timeDelt,startweekday,totalRents,timeDelt_sq,holiday,date,station,precip,tmax,tmin,tmax_sq,tmin_sq,startdate2,day_0,day_1,day_2,day_3,day_4,day_5,day_6
29,2015,1,30,2015-01-30,29,4,4848,841,0.0,,USC00186350,0.06,40.0,24.0,1600.0,576.0,2015-01-30,0,0,0,0,1,0,0
30,2015,1,31,2015-01-31,30,5,3331,900,0.0,,USC00186350,0.0,41.0,18.0,1681.0,324.0,2015-01-31,0,0,0,0,0,1,0
31,2015,2,1,2015-02-01,31,6,3587,961,0.0,,USC00186350,0.0,34.0,20.0,1156.0,400.0,2015-02-01,0,0,0,0,0,0,1
32,2015,2,2,2015-02-02,32,0,3881,1024,0.0,,USC00186350,0.11,42.0,30.0,1764.0,900.0,2015-02-02,1,0,0,0,0,0,0
33,2015,2,3,2015-02-03,33,1,5117,1089,0.0,,USC00186350,0.0,51.0,22.0,2601.0,484.0,2015-02-03,0,1,0,0,0,0,0
34,2015,2,4,2015-02-04,34,2,6074,1156,0.0,,USC00186350,0.0,37.0,24.0,1369.0,576.0,2015-02-04,0,0,1,0,0,0,0
35,2015,2,5,2015-02-05,35,3,4986,1225,0.0,,USC00186350,0.0,55.0,32.0,3025.0,1024.0,2015-02-05,0,0,0,1,0,0,0
36,2015,2,6,2015-02-06,36,4,4927,1296,0.0,,USC00186350,0.0,37.0,13.0,1369.0,169.0,2015-02-06,0,0,0,0,1,0,0
37,2015,2,7,2015-02-07,37,5,4925,1369,0.0,,USC00186350,0.0,36.0,18.0,1296.0,324.0,2015-02-07,0,0,0,0,0,1,0
38,2015,2,8,2015-02-08,38,6,6647,1444,0.0,,USC00186350,0.0,48.0,28.0,2304.0,784.0,2015-02-08,0,0,0,0,0,0,1
